,NPC_ID,Conversation_ID,Line_ID,Dialogue,Name,Level_ID
1,1,1,1,He's a boy; a strong one.,Doctor,Hospital_V01
2,2,1,2,Simon… he’s my Simon.,Mother,Hospital_V01
3,1,1,1,We should have hired someone for this.,Mother,OldHouse_V02
4,2,1,2,Do you know how much that costs? No thank you.,Father,OldHouse_V02
5,1,1,3,"Ah, there, there. Don't you worry, little guy. We're here for you",Mother,OldHouse_V02
6,2,1,4,This family is the best thing that's ever happened to me.,Father,OldHouse_V02
7,1,1,5,Someone's sentimental...,Mother,OldHouse_V02
8,2,1,6,"Hey, it's the truth! I just hope he’s going to feel the same way.",Father,OldHouse_V02
9,1,1,7,He will.,Mother,OldHouse_V02
10,1,1,1,Don't forget to take notes! I'll help you go through them when you come back home.,Mother,School_V03
11,2,1,2,I won't forget!,Simon,School_V03
12,3,1,3,"If there's a problem, just ask the teacher to call us",Father,School_V03
13,2,1,4,"Don’t worry, dad. I'll be fine!",Simon,School_V03
14,1,1,5,See? He says he'll be fine,Mother,School_V03
15,3,1,6,"*Sigh* Alright. Just take care. I’ll see you later, son!",Father,School_V03
16,2,1,7,Later!,Simon,School_V03
17,1,1,1,"Still waiting, huh?",Julia,School_V04
18,2,1,2,They'll be here soon. What about you?,Simon,School_V04
19,1,1,3,"My parents are always late, but yours are usually the first to get here.",Julia,School_V04
20,1,1,4,"Or so I've noticed, anyway.",Julia,School_V04
21,2,1,5,"Huh? Yeah, I guess. They don't like me staying out here for long, especially in the winter.",Simon,School_V04
22,1,1,6,That sure doesn't seem to be the case today.,Julia,School_V04
23,2,1,7,"Well, maybe something came up, I don't know. I don't mind waiting.",Simon,School_V04
24,1,1,8,I'm just teasing you. I kinda hate having to wait for them every day.,Julia,School_V04
25,2,1,9,Haven't you gotten used to it by now?,Simon,School_V04
26,1,1,10,"Funnily enough, no. I see everyone going home early with parents who seem to care, to a home they seem to love. That sure as heck isn't me.",Julia,School_V04
27,2,1,11,I think it's easy to judge others when you don't know what they're really like.,Simon,School_V04
28,1,1,12,Meaning?,Julia,School_V04
29,2,1,13,"Well, nobody's perfect, you know?",Simon,School_V04
30,2,1,14,"I'm sure your parents wish they could pick you up early every day. That's what I'd want to do, at least.",Simon,School_V04
31,1,1,15,"Yeah, that's a nice dream. I doubt my parents care that much about me.",Julia,School_V04
32,2,1,16,"Even if they don't, someone will. We all get our chance to be cared about.",Simon,School_V04
33,1,1,17,"Again, that's a nice dream... But I hope you're right.",Julia,School_V04
34,1,1,1,"Welcome, Julia! I hope you feel right at home.",Mother,OldHouse_V05
35,2,1,2,"Hello, Mr. and Ms. Wright. Thanks for having me!",Julia,OldHouse_V05
36,3,1,3,"Oh, please, just call me Joseph. Mr. Wright is my-",Father,OldHouse_V05
37,4,1,4,Don't you dare...,Simon,OldHouse_V05
38,1,1,5,"So, you're the Julia I've been hearing all about? You're such a dolly! I love the dress.",Mother,OldHouse_V05
39,2,1,6,"Thank you so much, Miss. It's my mother's dress. She insisted on me wearing it today.",Julia,OldHouse_V05
40,1,1,7,"Well, I think it looks gorgeous on you! Don't you think so, Simon?",Mother,OldHouse_V05
41,4,1,8,"Uhm, sure. It looks pretty nice on her",Simon,OldHouse_V05
42,1,1,9,But don't say it to me!,Mother,OldHouse_V05
43,2,1,10,*Chuckles*,Julia,OldHouse_V05
44,4,1,11,Can we go eat now? Dinner's gonna get cold.,Simon,OldHouse_V05
45,3,1,12,Boy's got a point. I'm starving.,Father,OldHouse_V05
46,4,1,13,You're always starving.,Simon,OldHouse_V05
47,1,1,14,That he is.,Mother,OldHouse_V05
48,1,1,1,"Hey, everything alright? You disappeared back there.",Julia,School_V06
49,2,1,2,I just wanted some air. I'm not good at these kinds of events.,Simon,School_V06
50,1,1,3,Are you good at any kind of event?,Julia,School_V06
51,2,1,4,...,Simon,School_V06
